# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1      75     0.06754     0.15422     0.09727    0.933022708   -0.074677926   -1.007700635
     1      75    -0.12217    -0.07147     0.00551    0.975051656    0.004521447   -0.970530209
     1      75    -0.04629    -0.07147     0.00551    0.940523224   -0.056630713   -0.997153937
     1      75    -0.00835    -0.07147    -0.08626    0.937257946   -0.068433693   -1.005691639
     1      75     0.02959    -0.07147    -0.17803    0.910291095   -0.092309945   -1.002601040
     1      75     0.06754    -0.07147    -0.26980    0.940420941   -0.045172273   -0.985593215
     1      75    -0.12217    -0.07147     0.18904    0.909498018   -0.091181684   -1.000679702
     1      75    -0.08423    -0.07147     0.09727    0.978509686   -0.022397969   -1.000907655
     1      75    -0.04629    -0.10908     0.09727    0.949990525   -0.051906358   -1.001896883
     1      75    -0.00835    -0.10908     0.00551    0.915280698   -0.037231528   -0.952512227
     1      75     0.02959    -0.10908    -0.08626    0.942872542   -0.045411588   -0.988284130
     1      75     0.06754    -0.10908    -0.17803    0.907659716   -0.062844458   -0.970504173
     1      75     0.10548    -0.10908    -0.26980    0.944132663   -0.048272271   -0.992404934
     1      75    -0.08423    -0.10908     0.18904    0.905504411   -0.074282735   -0.979787146
     1      75    -0.04629    -0.14670     0.18904    0.905819360   -0.079607950   -0.985427310
     1      75    -0.00835    -0.14670     0.09727    0.915849530   -0.044862591   -0.960712121
     1      75     0.02959    -0.14670     0.00551    0.889025260   -0.105090678   -0.994115938
     1      75     0.06754    -0.14670    -0.08626    0.931994863   -0.076874894   -1.008869757
     1      75    -0.12217     0.07899    -0.17803    0.909877554   -0.091802530   -1.001680084
     1      75    -0.08423     0.07899    -0.26980    0.935324264   -0.053541221   -0.988865486
     1      75    -0.04629     0.04138    -0.26980    0.953425784   -0.031643894   -0.985069679
     1      75    -0.00835    -0.18431     0.18904    0.913137807   -0.074506726   -0.987644533
     1      75     0.02959    -0.18431     0.09727    0.905989475   -0.140036783   -1.046026258
     1      75    -0.16011     0.04138     0.00551    0.967604730   -0.063894242   -1.031498972
     1      75    -0.12217     0.04138    -0.08626    0.987982170   -0.015899815   -1.003881985
     1      75    -0.08423     0.04138    -0.17803    0.915511659   -0.084647632   -1.000159291
     1      75    -0.04629     0.00376    -0.17803    0.913715360   -0.085231117   -0.998946477
     1      75    -0.00835     0.00376    -0.26980    0.980789034    0.015090783   -0.965698251
     1      75    -0.19806     0.00376     0.18904    0.915686090   -0.104368747   -1.020054837
     1      75    -0.16011     0.00376     0.09727    0.962157990   -0.078264083   -1.040422073
     1      75    -0.12217     0.00376     0.00551    1.013086862    0.007033144   -1.006053718
     1      75    -0.08423     0.00376    -0.08626    0.990666310   -0.016966497   -1.007632807
     1      75    -0.04629    -0.03385    -0.08626    0.957110691   -0.040344490   -0.997455180
     1      75    -0.00835    -0.03385    -0.17803    0.911670001   -0.101276681   -1.012946683
     1      75     0.02959    -0.03385    -0.26980    0.965909184   -0.013674855   -0.979584038
     1      75    -0.16011    -0.03385     0.18904    0.912292857   -0.103131397   -1.015424254
     1      75    -0.12217    -0.03385     0.09727    0.980920668   -0.022620852   -1.003541520
     1      75    -0.08423    -0.03385     0.00551    0.976622513   -0.023463143   -1.000085656
     1      75    -0.00835    -0.03385     0.00551    0.928941506   -0.078082676   -1.007024181
     1      75     0.02959    -0.03385    -0.08626    0.947689499   -0.053519901   -1.001209400
     1      75     0.06754    -0.03385    -0.17803    0.914202739   -0.080069552   -0.994272290
     1      75     0.10548    -0.03385    -0.26980    0.918176467   -0.067776038   -0.985952506
     1      75    -0.08423    -0.03385     0.18904    0.910788382   -0.087823131   -0.998611513
     1      75    -0.04629    -0.03385     0.09727    0.955653893   -0.045018008   -1.000671901
     1      75    -0.00835    -0.07147     0.09727    0.933812086   -0.083421496   -1.017233582
     1      75     0.02959    -0.07147     0.00551    0.934054450   -0.052938397   -0.986992847
     1      75     0.06754    -0.07147    -0.08626    0.967318925   -0.030299270   -0.997618195
     1      75     0.10548    -0.07147    -0.17803    0.913927364   -0.091504122   -1.005431486
     1      75    -0.08423    -0.07147     0.28081    0.934475044   -0.053570177   -0.988045221
     1      75    -0.04629    -0.07147     0.18904    0.909917956   -0.064269066   -0.974187022
     1      75    -0.00835    -0.10908     0.18904    0.905464579   -0.066796346   -0.972260924
     1      75     0.02959    -0.10908     0.09727    0.944488353   -0.052085580   -0.996573933
     1      75     0.06754    -0.10908     0.00551    0.933745864   -0.064376875   -0.998122740
     1      75     0.10548    -0.10908    -0.08626    0.947161729   -0.030136214   -0.977297943
     1      75    -0.08423     0.11661    -0.17803    0.903799907   -0.074748082   -0.978547989
     1      75    -0.04629     0.11661    -0.26980    0.957716010   -0.030918918   -0.988634928
     1      75    -0.00835     0.07899    -0.26980    0.964470702   -0.007356215   -0.971826917
     1      75     0.02959    -0.14670     0.18904    0.905682038   -0.072078263   -0.977760301
     1      75     0.06754    -0.14670     0.09727    0.928056158   -0.074553804   -1.002609961
     1      75    -0.12217     0.07899     0.00551    0.969090307   -0.001605088   -0.970695394
     1      75    -0.08423     0.07899    -0.08626    0.973879245   -0.025472590   -0.999351835
     1      75    -0.04629     0.07899    -0.17803    0.912676656   -0.061635273   -0.974311928
     1      75    -0.00835     0.04138    -0.17803    0.910485242   -0.108861430   -1.019346671
     1      75     0.02959     0.04138    -0.26980    0.964553094   -0.016850447   -0.981403541
     1      75    -0.16011     0.04138     0.18904    0.911803794   -0.097557896   -1.009361689
     1      75    -0.12217     0.04138     0.09727    0.979495649   -0.026444374   -1.005940023
     1      75    -0.08423     0.04138     0.00551    0.974604227   -0.024516087   -0.999120314
     1      75    -0.04629     0.04138    -0.08626    0.955772740   -0.039089058   -0.994861798
     1      75    -0.00835     0.00376    -0.08626    0.946506294   -0.046582843   -0.993089138
     1      75     0.02959     0.00376    -0.17803    0.914589332   -0.077022421   -0.991611753
     1      75     0.06754     0.00376    -0.26980    0.938366186   -0.047405950   -0.985772136
     1      75    -0.12217     0.00376     0.18904    0.911386940   -0.078957044   -0.990343984
     1      75    -0.08423     0.00376     0.09727    0.987495626   -0.003626521   -0.991122148
     1      75    -0.04629     0.00376     0.00551    0.946700489   -0.049404938   -0.996105427
     1      76     0.02959     0.00376     0.00551    1.071542288    0.126352895   -0.945189394
     1      76     0.06754     0.00376    -0.08626    1.001216115    0.004443827   -0.996772288
     1      76     0.10548     0.00376    -0.17803    0.995617262   -0.017495632   -1.013112893
     1      76    -0.08423     0.00376     0.28081    0.999964105   -0.033432407   -1.033396512
     1      76    -0.04629     0.00376     0.18904    0.961845639   -0.046827676   -1.008673316
     1      76    -0.00835     0.00376     0.09727    0.986482822    0.009900304   -0.976582518
     1      76     0.02959    -0.03385     0.09727    0.995973952    0.026290799   -0.969683152
     1      76     0.06754    -0.03385     0.00551    1.056479807    0.084248120   -0.972231687
     1      76     0.10548    -0.03385    -0.08626    1.006411246    0.003903491   -1.002507756
     1      76     0.14342    -0.03385    -0.17803    0.994629984   -0.004352111   -0.998982095
     1      76    -0.04629    -0.03385     0.28081    0.996023480    0.004887396   -0.991136084
     1      76    -0.00835    -0.03385     0.18904    0.956712422   -0.010876865   -0.967589287
     1      76     0.02959    -0.07147     0.18904    0.957812754   -0.017081406   -0.974894160
     1      76     0.06754    -0.07147     0.09727    0.989371960    0.018917402   -0.970454558
     1      76     0.10548    -0.07147     0.00551    1.009433602   -0.000413782   -1.009847384
     1      76     0.14342    -0.07147    -0.08626    1.008195732    0.017507243   -0.990688489
     1      76    -0.04629     0.15422    -0.17803    0.964476247   -0.034073460   -0.998549707
     1      76    -0.00835    -0.07147     0.28081    0.978979174    0.006480415   -0.972498759
     1      76     0.02959     0.11661    -0.26980    0.968402107   -0.011646720   -0.980048827
     1      76     0.06754    -0.10908     0.18904    0.964201229   -0.042392278   -1.006593506
     1      76     0.10548    -0.10908     0.09727    1.000091560    0.008763873   -0.991327687
     1      76    -0.08423     0.11661     0.00551    0.997849198   -0.016494665   -1.014343863
     1      76    -0.04629     0.11661    -0.08626    0.982606628    0.001426348   -0.981180280
     1      76    -0.00835     0.11661    -0.17803    0.947496494   -0.050350843   -0.997847337
     1      76     0.02959     0.07899    -0.17803    0.957450256   -0.014624335   -0.972074591
     1      76     0.06754     0.07899    -0.26980    0.970457854   -0.020489460   -0.990947314
     1      76    -0.12217     0.07899     0.18904    0.974964333   -0.025459097   -1.000423431
     1      76    -0.08423     0.07899     0.09727    0.987692611   -0.009164486   -0.996857097
     1      76    -0.04629     0.07899     0.00551    1.021541020    0.046853035   -0.974687985
     1      76    -0.00835     0.07899    -0.08626    1.006286031    0.055300712   -0.950985318
     1      76     0.02959     0.04138    -0.08626    1.009687465    0.047359635   -0.962327830
     1      76     0.06754     0.04138    -0.17803    0.971166809   -0.032017049   -1.003183858
     1      76     0.10548     0.04138    -0.26980    0.984924393   -0.018298315   -1.003222708
     1      76    -0.08423     0.04138     0.18904    0.978304357   -0.021533909   -0.999838266
     1      76    -0.04629     0.04138     0.09727    0.996290135    0.007394273   -0.988895862
     1      76    -0.00835     0.04138     0.00551    1.057806208    0.092804252   -0.965001956
     1      76     0.06754     0.04138     0.00551    1.049777490    0.075593045   -0.974184444
     1      76     0.10548     0.04138    -0.08626    1.005718093    0.002392828   -1.003325265
     1      76     0.14342     0.04138    -0.17803    0.990321981   -0.009525474   -0.999847455
     1      76    -0.04629     0.04138     0.28081    0.992176038    0.001015517   -0.991160521
     1      76    -0.00835     0.04138     0.18904    0.957067550   -0.001657166   -0.958724716
     1      76     0.02959     0.04138     0.09727    0.998340148    0.039834375   -0.958505773
     1      76     0.06754     0.00376     0.09727    0.987637544   -0.010383755   -0.998021299
     1      76     0.10548     0.00376     0.00551    1.049749307    0.075154603   -0.974594704
     1      76     0.14342     0.00376    -0.08626    1.035547916    0.063949255   -0.971598661
     1      76     0.18136     0.00376    -0.17803    0.999282514    0.017974485   -0.981308029
     1      76    -0.00835     0.00376     0.28081    1.003710007    0.037729831   -0.965980176
     1      76     0.02959     0.00376     0.18904    0.957571068   -0.054709971   -1.012281039
     1      76     0.06754    -0.03385     0.18904    0.970559112   -0.031824439   -1.002383552
     1      76     0.10548    -0.03385     0.09727    1.004766926    0.002153931   -1.002612996
     1      76     0.14342    -0.03385     0.00551    1.032265605    0.033910387   -0.998355218
     1      76     0.18136    -0.03385    -0.08626    1.022512152    0.039145611   -0.983366541
     1      76    -0.00835     0.19184    -0.17803    0.980097997   -0.027150267   -1.007248264
     1      76     0.02959    -0.03385     0.28081    0.997450034    0.007887491   -0.989562542
     1      76     0.06754    -0.07147     0.28081    0.973095120   -0.018129653   -0.991224773
     1      76     0.10548    -0.07147     0.18904    0.977850194   -0.023466366   -1.001316560
     1      76     0.14342    -0.07147     0.09727    1.001296466    0.006674141   -0.994622325
     1      76    -0.04629     0.15422     0.00551    1.015239612    0.010468805   -1.004770807
     1      76    -0.00835     0.15422    -0.08626    0.990968116   -0.009471306   -1.000439422
     1      76     0.02959     0.15422    -0.17803    0.959447606   -0.048593381   -1.008040987
     1      76     0.06754     0.11661    -0.17803    0.964802819   -0.041604647   -1.006407467
     1      76     0.10548     0.11661    -0.26980    0.949974129   -0.042434347   -0.992408476
     1      76    -0.08423     0.11661     0.18904    0.967482997   -0.033746269   -1.001229265
     1      76    -0.04629     0.11661     0.09727    0.971181085   -0.009401664   -0.980582749
     1      76    -0.00835     0.11661     0.00551    1.018370727    0.038092081   -0.980278646
     1      76     0.02959     0.11661    -0.08626    0.980693399    0.009339047   -0.971354352
     1      76     0.06754     0.07899    -0.08626    0.997707828    0.030058617   -0.967649211
     1      76     0.10548     0.07899    -0.17803    0.977563928   -0.023804390   -1.001368318
     1      76    -0.08423     0.07899     0.28081    0.967089399   -0.024372380   -0.991461778
     1      76    -0.04629     0.07899     0.18904    0.960821975   -0.037080810   -0.997902786
     1      76    -0.00835     0.07899     0.09727    0.997778417    0.052708966   -0.945069450
     1      76     0.02959     0.07899     0.00551    1.024953018    0.049447255   -0.975505764
     1      76     0.10548     0.07899     0.00551    1.003755127   -0.013346482   -1.017101609
     1      76     0.14342     0.07899    -0.08626    1.006313151    0.012868655   -0.993444496
     1      76    -0.04629    -0.14670    -0.17803    0.961763336   -0.038650306   -1.000413642
     1      76    -0.00835     0.07899     0.28081    0.976543132    0.004410233   -0.972132900
     1      76     0.02959     0.07899     0.18904    0.956946063   -0.023390456   -0.980336519
     1      76     0.06754     0.07899     0.09727    0.986419192    0.017264529   -0.969154663
     1      76     0.10548     0.04138     0.09727    1.003164066   -0.000008118   -1.003172184
     1      76     0.14342     0.04138     0.00551    1.029633614    0.026732655   -1.002900959
     1      76     0.18136     0.04138    -0.08626    1.017006024    0.035708912   -0.981297112
     1      76    -0.00835    -0.18431    -0.17803    0.974742141   -0.036168398   -1.010910539
     1      76     0.02959     0.04138     0.28081    0.993669408    0.003884262   -0.989785145
     1      76     0.06754     0.04138     0.18904    0.970491228   -0.030117333   -1.000608561
     1      76     0.10548     0.00376     0.18904    0.993842926   -0.030595861   -1.024438787
     1      76     0.14342     0.00376     0.09727    1.028407224    0.056321847   -0.972085377
     1      76     0.18136     0.00376     0.00551    1.039920203    0.060403308   -0.979516895
     1      76     0.21930     0.00376    -0.08626    1.044061448    0.048219782   -0.995841666
     1      76    -0.19806     0.00376    -0.17803    0.996374824    0.017107366   -0.979267458
     1      76     0.06754     0.00376     0.28081    1.003197043    0.005239404   -0.997957638
     1      76    -0.12217    -0.03385    -0.26980    0.988668631   -0.020791476   -1.009460106
     1      76     0.14342    -0.03385     0.18904    0.994136004   -0.004041857   -0.998177861
     1      76     0.18136    -0.03385     0.09727    1.013735523    0.031880911   -0.981854612
     1      76    -0.00835     0.19184     0.00551    1.027962966    0.014293020   -1.013669946
     1      76     0.02959     0.19184    -0.08626    1.022034259    0.021751197   -1.000283062
     1      76    -0.16011    -0.03385    -0.17803    0.991071311    0.000210471   -0.990860841
     1      76    -0.12217    -0.07147    -0.17803    0.979428421   -0.023041519   -1.002469940
     1      76    -0.08423    -0.07147    -0.26980    0.971630665   -0.019596090   -0.991226755
     1      76    -0.04629     0.15422     0.18904    0.965077725   -0.029801844   -0.994879569
     1      76    -0.00835     0.15422     0.09727    0.979024763   -0.026753044   -1.005777807
     1      76     0.02959     0.15422     0.00551    1.017111557    0.022439672   -0.994671886
     1      76     0.06754     0.15422    -0.08626    1.002928219    0.021461982   -0.981466237
     1      76     0.10548     0.11661    -0.08626    1.006905945    0.025594046   -0.981311898
     1      76    -0.08423    -0.10908    -0.17803    0.969703756   -0.034001094   -1.003704850
     1      76    -0.04629    -0.10908    -0.26980    0.964006786   -0.024638407   -0.988645193
     1      76    -0.00835     0.11661     0.18904    0.950534141   -0.058679125   -1.009213265
     1      76     0.02959     0.11661     0.09727    0.968694222   -0.001784790   -0.970479012
     1      76     0.06754     0.11661     0.00551    1.002888636    0.009008988   -0.993879648
     1      76    -0.08423    -0.10908     0.00551    0.998375626   -0.012140637   -1.010516264
     1      76    -0.04629    -0.10908    -0.08626    0.984184459    0.007990526   -0.976193932
     1      76    -0.00835    -0.10908    -0.17803    0.948523620   -0.041454498   -0.989978118
     1      76     0.02959    -0.10908    -0.26980    0.969600190   -0.011051418   -0.980651608
     1      76     0.06754     0.11661     0.18904    0.963896319   -0.042380956   -1.006277275
     1      76     0.10548     0.11661     0.09727    1.000318304    0.009504402   -0.990813902
     1      76     0.14342     0.07899     0.09727    0.999380609    0.002015957   -0.997364651
     1      76    -0.04629    -0.14670     0.00551    1.012845521    0.008462418   -1.004383103
     1      76    -0.00835    -0.14670    -0.08626    0.985914797   -0.007005761   -0.992920558
     1      76     0.02959    -0.14670    -0.17803    0.956391065   -0.051902125   -1.008293190
     1      76     0.06754     0.07899     0.28081    0.969026588   -0.022184964   -0.991211551
     1      76     0.10548     0.07899     0.18904    0.975563805   -0.024604908   -1.000168713
