# k =   0.500000   0.750000   0.250000 spin = 1
# <ib|Sigma_CH[1..Nb]|ib> (eV), partial and symmetrized sum with up to Nb "inner" bands
# Reporting only VBM and CBM, use 'full_ch_conv_log 1' keyword for full report.
# 1/N extrap for CH(vbm) CH(cbm) diff =  -7.39484624E+00  -6.90922530E+00   4.85620938E-01
# Error est. for CH(vbm) CH(cbm) diff =   9.42188518E-01   7.50443808E-01  -1.91744709E-01
#    Nb          CH(vbm)          CH(cbm)             diff
    139  -5.49417937E+00  -5.27548061E+00   2.18698761E-01
    140  -5.50367598E+00  -5.28710426E+00   2.16571725E-01
    141  -5.51328126E+00  -5.29759519E+00   2.15686068E-01
    142  -5.52084506E+00  -5.30625324E+00   2.14591818E-01
    143  -5.52939709E+00  -5.31805025E+00   2.11346837E-01
    144  -5.53933515E+00  -5.32999587E+00   2.09339273E-01
    145  -5.54747471E+00  -5.34142394E+00   2.06050765E-01
    146  -5.55585500E+00  -5.35158883E+00   2.04266169E-01
    147  -5.56318844E+00  -5.36226003E+00   2.00928408E-01
    148  -5.57074685E+00  -5.37440997E+00   1.96336886E-01
    149  -5.57927511E+00  -5.38378157E+00   1.95493536E-01
    150  -5.58725549E+00  -5.39013922E+00   1.97116274E-01
    151  -5.59645570E+00  -5.39822965E+00   1.98226050E-01
    152  -5.60521452E+00  -5.40828987E+00   1.96924657E-01
    153  -5.61421377E+00  -5.41918779E+00   1.95025986E-01
    154  -5.62320709E+00  -5.43021745E+00   1.92989635E-01
    155  -5.63166736E+00  -5.43813612E+00   1.93531243E-01
    156  -5.64100995E+00  -5.44623090E+00   1.94779050E-01
    157  -5.65061691E+00  -5.45655550E+00   1.94061407E-01
    158  -5.65892847E+00  -5.46381437E+00   1.95114106E-01
    159  -5.66672454E+00  -5.47319829E+00   1.93526248E-01
    160  -5.67746175E+00  -5.48408249E+00   1.93379261E-01
    161  -5.68436174E+00  -5.49420456E+00   1.90157171E-01
    162  -5.69147812E+00  -5.50665642E+00   1.84821705E-01
    163  -5.69951285E+00  -5.51546406E+00   1.84048787E-01
    164  -5.70729579E+00  -5.52305177E+00   1.84244018E-01
    165  -5.71501045E+00  -5.53027918E+00   1.84731272E-01
    166  -5.72295314E+00  -5.53937607E+00   1.83577071E-01
    167  -5.73047615E+00  -5.54844013E+00   1.82036027E-01
    168  -5.73759245E+00  -5.55596737E+00   1.81625085E-01
    169  -5.74514831E+00  -5.56359271E+00   1.81555595E-01
    170  -5.75301324E+00  -5.57056594E+00   1.82447304E-01
    171  -5.76164542E+00  -5.57607491E+00   1.85570513E-01
    172  -5.77021266E+00  -5.58470745E+00   1.85505215E-01
    173  -5.77770294E+00  -5.59127056E+00   1.86432376E-01
    174  -5.78626385E+00  -5.59662659E+00   1.89637264E-01
    175  -5.79382818E+00  -5.60399800E+00   1.89830172E-01
    176  -5.80269925E+00  -5.61108384E+00   1.91615407E-01
    177  -5.81076453E+00  -5.61722110E+00   1.93543430E-01
    178  -5.81773135E+00  -5.62349377E+00   1.94237586E-01
    179  -5.82525712E+00  -5.62939932E+00   1.95857802E-01
    180  -5.83196802E+00  -5.63471878E+00   1.97249241E-01
    181  -5.84053075E+00  -5.64224947E+00   1.98281281E-01
