     diagonalizing the dynamical matrix ...

 q =       0.0000      0.0000      0.0000
 **************************************************************************
     freq (    1) =      -1.494360 [THz] =     -49.846489 [cm-1]
 (  0.000000   0.000000    -0.009261   0.000000    -0.000000   0.000000   )
 (  0.000000   0.000000    -0.009261   0.000000    -0.000000   0.000000   )
 ( -0.025569   0.000000    -0.031010   0.000000     0.000000   0.000000   )
 (  0.025569   0.000000    -0.031010   0.000000    -0.000000   0.000000   )
 ( -0.025569   0.000000    -0.031010   0.000000     0.000000   0.000000   )
 (  0.025569   0.000000    -0.031010   0.000000    -0.000000   0.000000   )
 (  0.000000   0.000000     0.263284   0.000000     0.000000   0.000000   )
 (  0.000000   0.000000     0.263284   0.000000     0.000000   0.000000   )
 (  0.000000   0.000000    -0.030002   0.000000     0.000000   0.000000   )
 (  0.000000   0.000000    -0.030002   0.000000     0.000000   0.000000   )
 ( -0.064948   0.000000    -0.126800   0.000000     0.000000   0.000000   )
 (  0.064947   0.000000    -0.126800   0.000000    -0.000000   0.000000   )
 ( -0.064948   
     Polarizability (A^3 units)
     multiply by 1.000000 for Clausius-Mossotti correction
         0.000000    0.000000    0.000000
         0.000000    0.000000    0.000000
         0.000000    0.000000    0.000000

     IR activities are in (D/A)^2/amu units

# mode   [cm-1]    [THz]      IR
 (  0.149807   0.000000     0.048116   0.000000    -0.000000   0.000000   )
 (  0.149807   0.000000    -0.048116   0.000000    -0.000000   0.000000   )
 (  0.149807   0.000000     0.048116   0.000000    -0.000000   0.000000   )
 (  0.149807   0.000000    -0.048116   0.000000    -0.000000   0.000000   )
 (  0.141317   0.000000     0.072614   0.000000     0.001276   0.000000   )
 (  0.141317   0.000000    -0.072614   0.000000    -0.001276   0.000000   )
 (  0.141317   0.000000     0.072614   0.000000    -0.001276   0.000000   )
 (  0.141317   0.000000    -0.072614   0.000000     0.001276   0.000000   )
 (  0.141317   0.000000     0.072614   0.000000     0.001276   0.000000   )
 (  0.141317   0.000000    -0.072614   0.000000    -0.001276   0.000000   )
 (  0.141317   0.000000     0.072614   0.000000    -0.001276   0.000000   )
 (  0.141317   0.000000    -0.072614   0.000000     0.001276   0.000000   )
 (  0.148550   0.000000     0.039835   0.000000    -0.000000   0.000000   )
 (  0.148550   0.000000    -0.039835   0.000000    -0.000000   0.000000   )
 (  0.148550   0.000000     0.039835   0.000000    -0.000000   0.000000   )
 (  0.148550   0.000000    -0.039835   0.000000    -0.000000   0.000000   )
 (  0.155315   0.000000     0.050546   0.000000     0.000027   0.000000   )
 (  0.155315   0.000000    -0.050546   0.000000    -0.000028   0.000000   )
 (  0.155315   0.000000     0.050546   0.000000    -0.000027   0.000000   )
 (  0.155315   0.000000    -0.050546   0.000000     0.000027   0.000000   )
 (  0.155315   0.000000     0.050546   0.000000     0.000027   0.000000   )
 (  0.155315   0.000000    -0.050546   0.000000    -0.000028   0.000000   )
 (  0.155315   0.000000     0.050546   0.000000    -0.000027   0.000000   )
 (  0.155315   0.000000    -0.050546   0.000000     0.000027   0.000000   )
 (  0.127907   0.000000     0.051649   0.000000    -0.000535   0.000000   )
 (  0.127907   0.000000    -0.051649   0.000000     0.000535   0.000000   )
 (  0.127907   0.000000     0.051649   0.000000     0.000535   0.000000   )
 (  0.127907   0.000000    -0.051649   0.000000    -0.000535   0.000000   )
 (  0.127907   0.000000     0.051649   0.000000    -0.000535   0.000000   )
 (  0.127907   0.000000    -0.051649   0.000000     0.000535   0.000000   )
 (  0.127907   0.000000     0.051649   0.000000     0.000535   0.000000   )
 (  0.127907   0.000000    -0.051649   0.000000    -0.000535   0.000000   )
 (  0.134556   0.000000     0.056611   0.000000     0.000000   0.000000   )
 (  0.134556   0.000000    -0.056611   0.000000    -0.000000   0.000000   )
 (  0.134556   0.000000     0.056611   0.000000     0.000000   0.000000   )
 (  0.134556   0.000000    -0.056611   0.000000    -0.000000   0.000000   )
     freq (    4) =      -0.000001 [THz] =      -0.000042 [cm-1]
 (  0.002944   0.000000    -0.000989   0.000000     0.141387   0.000000   )
 (  0.002944   0.000000    -0.000989   0.000000     0.141387   0.000000   )
 (  0.002944   0.000000    -0.000989   0.000000     0.141387   0.000000   )
 (  0.002944   0.000000    -0.000989   0.000000     0.141387   0.000000   )
 (  0.002944   0.000000    -0.000989   0.000000     0.141387   0.000000   )
 (  0.002944   0.000000    -0.000989   0.000000     0.141387   0.000000   )
 (  0.002944   0.000000    -0.000989   0.000000     0.141387   0.000000   )
 (  0.002944   0.000000    -0.000989   0.000000     0.141387   0.000000   )
 (  0.002944   0.000000    -0.000989   0.000000     0.141387   0.000000   )
 (  0.002944   0.000000    -0.000989   0.000000     0.141387   0.000000   )
 (  0.002944   0.000000    -0.000989   0.000000     0.141387   0.000000   )
 (  0.002944   0.000000    -0.000989   0.000000     0.141387   0.000000   )
 (  0.002944   0.000000    -0.000989   0.000000     0.141387   0.000000   )
 (  0.002944   0.000000    -0.000989   0.000000     0.141387   0.000000   )
 (  0.002944   0.000000    -0.000989   0.000000     0.141387   0.000000   )
 (  0.002944   0.000000    -0.000989   0.000000     0.141387   0.000000   )
 (  0.002944   0.000000    -0.000989   0.000000     0.141387   0.000000   )
 (  0.002944   0.000000    -0.000989   0.000000     0.141387   0.000000   )
 (  0.002944   0.000000    -0.000989   0.000000     0.141387   0.000000   )
 (  0.002944   0.000000    -0.000989   0.000000     0.141387   0.000000   )
 (  0.002944   0.000000    -0.000989   0.000000     0.141387   0.000000   )
 (  0.002944   0.000000    -0.000989   0.000000     0.141387   0.000000   )
 (  0.002944   0.000000    -0.000989   0.000000     0.141387   0.000000   )
 (  0.002944   0.000000    -0.000989   0.000000     0.141387   0.000000   )
 (  0.002944   0.000000    -0.000989   0.000000     0.141387   0.000000   )
 (  0.002944   0.000000    -0.000989   0.000000     0.141387   0.000000   )
 (  0.002944   0.000000    -0.000989   0.000000     0.141387   0.000000   )
 (  0.002944   0.000000    -0.000989   0.000000     0.141387   0.000000   )
 (  0.002944   0.000000    -0.000989   0.000000     0.141387   0.000000   )
 (  0.002944   0.000000    -0.000989   0.000000     0.141387   0.000000   )
 (  0.002944   0.000000    -0.000989   0.000000     0.141387   0.000000   )
 (  0.002944   0.000000    -0.000989   0.000000     0.141387   0.000000   )
 (  0.002944   0.000000    -0.000989   0.000000     0.141387   0.000000   )
 (  0.002944   0.000000    -0.000989   0.000000     0.141387   0.000000   )
 (  0.002944   0.000000    -0.000989   0.000000     0.141387   0.000000   )
 (  0.002944   0.000000    -0.000989   0.000000     0.141387   0.000000   )
 (  0.002944   0.000000    -0.000989   0.000000     0.141387   0.000000   )
 (  0.002944   0.000000    -0.000989   0.000000     0.141387   0.000000   )
 (  0.002944   0.000000    -0.000989   0.000000     0.141387   0.000000   )
 (  0.002944   0.000000    -0.000989   0.000000     0.141387   0.000000   )
 (  0.002944   0.000000    -0.000989   0.000000     0.141387   0.000000   )
 (  0.002944   0.000000    -0.000989   0.000000     0.141387   0.000000   )
 (  0.002944   0.000000    -0.000989   0.000000     0.141387   0.000000   )
 (  0.002944   0.000000    -0.000989   0.000000     0.141387   0.000000   )
 (  0.002944   0.000000    -0.000989   0.000000     0.141387   0.000000   )
 (  0.002944   0.000000    -0.000989   0.000000     0.141387   0.000000   )
 (  0.002944   0.000000    -0.000989   0.000000     0.141387   0.000000   )
 (  0.002944   0.000000    -0.000989   0.000000     0.141387   0.000000   )
 (  0.002944   0.000000    -0.000989   0.000000     0.141387   0.000000   )
 (  0.002944   0.000000    -0.000989   0.000000     0.141387   0.000000   )
     freq (    5) =      -0.000000 [THz] =      -0.000004 [cm-1]
 ( -0.135733   0.000000     0.039584   0.000000     0.003103   0.000000   )
 ( -0.135733   0.000000     0.039584   0.000000     0.003103   0.000000   )
 ( -0.135733   0.000000     0.039584   0.000000     0.003103   0.000000   )
 ( -0.135733   0.000000     0.039584   0.000000     0.003103   0.000000   )
 ( -0.135733   0.000000     0.039584   0.000000     0.003103   0.000000   )
 ( -0.135733   0.000000     0.039584   0.000000     0.003103   0.000000   )
 ( -0.135733   0.000000     0.039584   0.000000     0.003103   0.000000   )
 ( -0.135733   0.000000     0.039584   0.000000     0.003103   0.000000   )
 ( -0.135733   0.000000     0.039584   0.000000     0.003103   0.000000   )
 ( -0.135733   0.000000     0.039584   0.000000     0.003103   0.000000   )
 ( -0.135733   0.000000     0.039584   0.000000     0.003103   0.000000   )
 ( -0.135733   0.000000     0.039584   0.000000     0.003103   0.000000   )
 ( -0.135733   0.000000     0.039584   0.000000     0.003103   0.000000   )
 ( -0.135733   0.000000     0.039584   0.000000     0.003103   0.000000   )
 ( -0.135733   0.000000     0.039584   0.000000     0.003103   0.000000   )
 ( -0.135733   0.000000     0.039584   0.000000     0.003103   0.000000   )
 ( -0.135733   0.000000     0.039584   0.000000     0.003103   0.000000   )
 ( -0.135733   0.000000     0.039584   0.000000     0.003103   0.000000   )
 ( -0.135733   0.000000     0.039584   0.000000     0.003103   0.000000   )
 ( -0.135733   0.000000     0.039584   0.000000     0.003103   0.000000   )
 ( -0.135733   0.000000     0.039584   0.000000     0.003103   0.000000   )
 ( -0.135733   0.000000     0.039584   0.000000     0.003103   0.000000   )
 ( -0.135733   0.000000     0.039584   0.000000     0.003103   0.000000   )
 ( -0.135733   0.000000     0.039584   0.000000     0.003103   0.000000   )
 ( -0.135733   0.000000     0.039584   0.000000     0.003103   0.000000   )
 ( -0.135733   0.000000     0.039584   0.000000     0.003103   0.000000   )
 ( -0.135733   0.000000     0.039584   0.000000     0.003103   0.000000   )
 ( -0.135733   0.000000     0.039584   0.000000     0.003103   0.000000   )
 ( -0.135733   0.000000     0.039584   0.000000     0.003103   0.000000   )
 ( -0.135733   0.000000     0.039584   0.000000     0.003103   0.000000   )
 ( -0.135733   0.000000     0.039584   0.000000     0.003103   0.000000   )
 ( -0.135733   0.000000     0.039584   0.000000     0.003103   0.000000   )
 ( -0.135733   0.000000     0.039584   0.000000     0.003103   0.000000   )
 ( -0.135733   0.000000     0.039584   0.000000     0.003103   0.000000   )
 ( -0.135733   0.000000     0.039584   0.000000     0.003103   0.000000   )
 ( -0.135733   0.000000     0.039584   0.000000     0.003103   0.000000   )
 ( -0.135733   0.000000     0.039584   0.000000     0.003103   0.000000   )
 ( -0.135733   0.000000     0.039584   0.000000     0.003103   0.000000   )
 ( -0.135733   0.000000     0.039584   0.000000     0.003103   0.000000   )
 ( -0.135733   0.000000     0.039584   0.000000     0.003103   0.000000   )
 ( -0.135733   0.000000     0.039584   0.000000     0.003103   0.000000   )
 ( -0.135733   0.000000     0.039584   0.000000     0.003103   0.000000   )
 ( -0.135733   0.000000     0.039584   0.000000     0.003103   0.000000   )
 ( -0.135733   0.000000     0.039584   0.000000     0.003103   0.000000   )
 ( -0.135733   0.000000     0.039584   0.000000     0.003103   0.000000   )
 ( -0.135733   0.000000     0.039584   0.000000     0.003103   0.000000   )
 ( -0.135733   0.000000     0.039584   0.000000     0.003103   0.000000   )
 ( -0.135733   0.000000     0.039584   0.000000     0.003103   0.000000   )
 ( -0.135733   0.000000     0.039584   0.000000     0.003103   0.000000   )
