# k =   0.250000  -0.000000  -0.000000 spin = 1
# <ib|Sigma_CH[1..Nb]|ib> (eV), partial and symmetrized sum with up to Nb "inner" bands
# Reporting only VBM and CBM, use 'full_ch_conv_log 1' keyword for full report.
# 1/N extrap for CH(vbm) CH(cbm) diff =  -7.53884461E+00  -7.31094025E+00   2.27904361E-01
# Error est. for CH(vbm) CH(cbm) diff =   9.76322792E-01   8.47958932E-01  -1.28363860E-01
#    Nb          CH(vbm)          CH(cbm)             diff
    202  -6.10216505E+00  -6.04537028E+00   5.67947631E-02
    203  -6.11073203E+00  -6.05504801E+00   5.56840280E-02
    204  -6.11780811E+00  -6.06103737E+00   5.67707316E-02
    205  -6.12454244E+00  -6.06818571E+00   5.63567264E-02
    206  -6.13354234E+00  -6.07522726E+00   5.83150783E-02
    207  -6.13962124E+00  -6.08002164E+00   5.95995956E-02
    208  -6.14593020E+00  -6.08704068E+00   5.88895258E-02
    209  -6.15277098E+00  -6.09450041E+00   5.82705728E-02
    210  -6.15866233E+00  -6.09880212E+00   5.98602094E-02
    211  -6.16451572E+00  -6.10385470E+00   6.06610193E-02
    212  -6.17162918E+00  -6.11012980E+00   6.14993766E-02
    213  -6.17744467E+00  -6.11453401E+00   6.29106560E-02
    214  -6.18364461E+00  -6.12073496E+00   6.29096492E-02
    215  -6.18998546E+00  -6.12456120E+00   6.54242652E-02
    216  -6.19619925E+00  -6.12947261E+00   6.67266451E-02
    217  -6.20373179E+00  -6.13489984E+00   6.88319450E-02
    218  -6.20979965E+00  -6.13982084E+00   6.99788020E-02
    219  -6.21589569E+00  -6.14502950E+00   7.08661883E-02
    220  -6.22086993E+00  -6.14946288E+00   7.14070437E-02
    221  -6.22649337E+00  -6.15417886E+00   7.23145031E-02
    222  -6.23143150E+00  -6.15802632E+00   7.34051806E-02
    223  -6.23721174E+00  -6.16311641E+00   7.40953223E-02
    224  -6.24303486E+00  -6.16797156E+00   7.50632919E-02
    225  -6.24848871E+00  -6.17260157E+00   7.58871397E-02
    226  -6.25382428E+00  -6.17694128E+00   7.68829957E-02
    227  -6.25979477E+00  -6.18161932E+00   7.81754543E-02
    228  -6.26482335E+00  -6.18654469E+00   7.82786645E-02
    229  -6.26974351E+00  -6.19097156E+00   7.87719458E-02
    230  -6.27499151E+00  -6.19649903E+00   7.84924789E-02
    231  -6.28085775E+00  -6.20133672E+00   7.95210264E-02
    232  -6.28533641E+00  -6.20513781E+00   8.01985974E-02
    233  -6.29134451E+00  -6.20979253E+00   8.15519879E-02
    234  -6.29636647E+00  -6.21434540E+00   8.20210741E-02
    235  -6.30128459E+00  -6.21851517E+00   8.27694213E-02
    236  -6.30641208E+00  -6.22319414E+00   8.32179401E-02
    237  -6.31041175E+00  -6.22752493E+00   8.28868208E-02
    238  -6.31558103E+00  -6.23147874E+00   8.41022902E-02
    239  -6.32009676E+00  -6.23611167E+00   8.39850810E-02
    240  -6.32547160E+00  -6.24025123E+00   8.52203700E-02
    241  -6.32985474E+00  -6.24408887E+00   8.57658688E-02
    242  -6.33401198E+00  -6.24860372E+00   8.54082584E-02
    243  -6.33858403E+00  -6.25315678E+00   8.54272550E-02
    244  -6.34443643E+00  -6.25771640E+00   8.67200252E-02
    245  -6.34927119E+00  -6.26410240E+00   8.51687866E-02
    246  -6.35402403E+00  -6.26946504E+00   8.45589829E-02
    247  -6.35880663E+00  -6.27369765E+00   8.51089799E-02
    248  -6.36381382E+00  -6.27680376E+00   8.70100603E-02
    249  -6.36812779E+00  -6.28160412E+00   8.65236725E-02
    250  -6.37162575E+00  -6.28578881E+00   8.58369432E-02
    251  -6.37540825E+00  -6.29013142E+00   8.52768222E-02
    252  -6.38021845E+00  -6.29539345E+00   8.48250052E-02
    253  -6.38418302E+00  -6.29925647E+00   8.49265486E-02
    254  -6.38838945E+00  -6.30369535E+00   8.46940947E-02
    255  -6.39298988E+00  -6.30940971E+00   8.35801730E-02
    256  -6.39747247E+00  -6.31415581E+00   8.33166574E-02
    257  -6.40158675E+00  -6.31862321E+00   8.29635324E-02
    258  -6.40528228E+00  -6.32323951E+00   8.20427660E-02
    259  -6.40954308E+00  -6.32710820E+00   8.24348836E-02
    260  -6.41340234E+00  -6.33015789E+00   8.32444511E-02
    261  -6.41733456E+00  -6.33403242E+00   8.33021391E-02
    262  -6.42200467E+00  -6.33709771E+00   8.49069581E-02
    263  -6.42681261E+00  -6.34154345E+00   8.52691659E-02
    264  -6.43133077E+00  -6.34488899E+00   8.64417842E-02
    265  -6.43501153E+00  -6.34918461E+00   8.58269140E-02
    266  -6.43901545E+00  -6.35385990E+00   8.51555446E-02
    267  -6.44297966E+00  -6.35826137E+00   8.47182900E-02
    268  -6.44652339E+00  -6.36232062E+00   8.42027750E-02
    269  -6.44992841E+00  -6.36565998E+00   8.42684296E-02
    270  -6.45404151E+00  -6.36876366E+00   8.52778507E-02
    271  -6.45733194E+00  -6.37199453E+00   8.53374068E-02
    272  -6.46083274E+00  -6.37509831E+00   8.57344339E-02
    273  -6.46402040E+00  -6.37810559E+00   8.59148083E-02
    274  -6.46804497E+00  -6.38152871E+00   8.65162545E-02
    275  -6.47243363E+00  -6.38537279E+00   8.70608463E-02
    276  -6.47637817E+00  -6.38898528E+00   8.73928921E-02
    277  -6.48020305E+00  -6.39191086E+00   8.82921943E-02
    278  -6.48483605E+00  -6.39527710E+00   8.95589478E-02
    279  -6.48880354E+00  -6.39839443E+00   9.04091083E-02
    280  -6.49264014E+00  -6.40122582E+00   9.14143259E-02
    281  -6.49654597E+00  -6.40387077E+00   9.26751999E-02
    282  -6.50078972E+00  -6.40707076E+00   9.37189601E-02
    283  -6.50427883E+00  -6.41012373E+00   9.41551012E-02
    284  -6.50834055E+00  -6.41315196E+00   9.51885949E-02
    285  -6.51172940E+00  -6.41609389E+00   9.56355010E-02
    286  -6.51545022E+00  -6.41930132E+00   9.61488978E-02
    287  -6.51913825E+00  -6.42241347E+00   9.67247764E-02
    288  -6.52264409E+00  -6.42559869E+00   9.70454010E-02
    289  -6.52669113E+00  -6.42853581E+00   9.81553249E-02
    290  -6.52992486E+00  -6.43209458E+00   9.78302789E-02
    291  -6.53341017E+00  -6.43530108E+00   9.81090896E-02
